TICKER,CP,RSI,VOL,AVGVOL,%CHG,ATR,%ATR,SECTOR,IPO,COUNTRY,CATEGORY
SIRI,4.75,46.81,8.31,12.67,-1.86,0.53,11.16,Consumer_Discretionary,0.0,United States,large
RIVN,21.57,41.48,30.95,52.42,-1.55,1.83,8.48,Consumer_Discretionary,2021.0,United States,large
LCID,6.64,45.71,26.58,53.85,-2.06,0.49,7.38,Consumer_Discretionary,0.0,United States,large
DDOG,89.44,34.68,3.17,10.65,-1.41,5.81,6.5,Technology,2019.0,United States,large
PDD,81.55,50.34,7.59,7.44,-3.74,4.19,5.14,Consumer_Discretionary,2018.0,China,large
ENPH,135.2,28.01,2.23,3.41,-0.92,6.93,5.13,Technology,2012.0,United States,large
TEAM,197.66,61.83,1.0,1.69,0.1,10.03,5.07,Technology,2015.0,Australia,large
FTNT,59.68,29.56,7.7,12.45,-1.45,2.85,4.78,Technology,2009.0,United States,large
ZS,142.95,44.89,1.1,1.79,-0.94,6.82,4.77,Technology,2018.0,United States,large
AMD,107.57,41.64,55.62,57.83,-2.41,4.74,4.41,Technology,0.0,United States,large
DXCM,111.69,32.04,3.24,4.36,-1.39,4.89,4.38,Health_Care,2005.0,United States,large
WBD,13.7,55.52,11.53,18.91,-2.97,0.6,4.38,Telecommunications,0.0,United States,large
JD,36.46,44.17,14.06,9.49,-5.27,1.59,4.36,Consumer_Discretionary,2014.0,China,large
TSLA,242.65,39.85,98.87,103.54,-1.1,10.56,4.35,Consumer_Discretionary,2010.0,United States,mega
CRWD,148.22,46.8,2.05,2.7,0.24,6.13,4.14,Technology,2019.0,United States,large
MRNA,101.49,27.4,2.83,4.93,1.21,4.15,4.09,Health_Care,2018.0,United States,large
ALGN,352.88,49.93,0.52,0.48,1.63,13.93,3.95,Health_Care,2001.0,United States,large
MELI,1330.0,57.69,0.61,0.58,-4.11,51.81,3.9,Consumer_Discretionary,2007.0,Argentina,large
NVDA,408.55,36.34,53.2,45.74,-3.62,15.78,3.86,Technology,1999.0,United States,mega
MRVL,57.09,35.14,9.95,8.58,-3.12,2.19,3.84,Technology,2000.0,United States,large
GFS,56.88,34.55,2.49,2.2,-2.75,2.15,3.78,Technology,2021.0,United States,large
ILMN,180.48,37.48,2.11,1.78,-2.51,6.53,3.62,Health_Care,2000.0,United States,large
PYPL,61.54,33.38,12.39,16.14,-1.99,2.16,3.51,Consumer_Discretionary,0.0,United States,large
ABNB,133.68,40.05,4.37,3.99,-1.68,4.61,3.45,Consumer_Discretionary,2020.0,United States,large
NFLX,421.66,44.46,3.93,4.36,-1.93,14.34,3.4,Consumer_Discretionary,2002.0,United States,large
PANW,217.96,36.8,3.91,5.76,1.82,7.38,3.39,Technology,0.0,United States,large
AMAT,138.83,43.22,5.19,4.27,-4.0,4.7,3.39,Technology,1972.0,United States,large
LRCX,651.97,45.81,1.6,0.97,-5.01,21.81,3.35,Technology,1984.0,United States,large
QCOM,114.61,38.72,5.71,6.84,-0.86,3.84,3.35,Technology,1991.0,United States,large
ODFL,410.78,60.51,0.58,0.57,1.19,13.73,3.34,Industrials,1991.0,United States,large
